id,price_min,price_max,multiplier,created_at,updated_at
257,12850,12900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
258,12900,12950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
259,12950,13000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
260,13000,13050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
261,13050,13100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
262,13100,13150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
263,13150,13200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
264,13200,13250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
265,13250,13300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
266,13300,13350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
267,13350,13400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
268,13400,13450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
269,13450,13500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
270,13500,13550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
271,13550,13600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
272,13600,13650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
273,13650,13700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
274,13700,13750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
275,13750,13800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
276,13800,13850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
277,13850,13900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
278,13900,13950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
279,13950,14000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
280,14000,14050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
281,14050,14100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
282,14100,14150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
283,14150,14200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
284,14200,14250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
285,14250,14300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
286,14300,14350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
287,14350,14400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
288,14400,14450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
289,14450,14500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
290,14500,14550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
291,14550,14600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
292,14600,14650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
293,14650,14700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
294,14700,14750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
295,14750,14800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
296,14800,14850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
297,14850,14900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
298,14900,14950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
299,14950,15000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
300,15000,15050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
301,15050,15100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
302,15100,15150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
303,15150,15200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
304,15200,15250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
305,15250,15300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
